,round,algorithm,QoS,runtime,n_requests,req_id,req_service,req_acc,req_delay,served_acc,served_delay
0,0,Optimal,65.21390190232812,2.547088146209717,100,0,49,0.9375418803705773,0.5512851620212154,0.5966310481294952,0.2857261963565345
1,0,Optimal,65.21390190232812,2.547088146209717,100,2,53,0.9459119823353288,0.2653969940194156,0.71029350349141,0.37346540292071756
2,0,Optimal,65.21390190232812,2.547088146209717,100,3,5,0.6466253425133585,0.6177328754018373,0.5711732883032901,0.5731281418114472
3,0,Optimal,65.21390190232812,2.547088146209717,100,7,51,0.9181047490652622,3.5371906614242175,0.6346470901950534,0.4201515642303587
4,0,Optimal,65.21390190232812,2.547088146209717,100,8,38,0.5221141732211672,0.9721980635314297,0.735634297255862,0.5336291325724458
5,0,Optimal,65.21390190232812,2.547088146209717,100,9,61,0.6844694748822431,0.5830306650587108,0.6545665525361976,0.39280359820089955
6,0,Optimal,65.21390190232812,2.547088146209717,100,12,27,0.6186509373992006,0.6602753155206331,0.7770999982369104,0.3466426351054809
7,0,Optimal,65.21390190232812,2.547088146209717,100,13,64,0.7175195884537864,0.2963001417298902,0.618297627951147,0.38685563025342745
8,0,Optimal,65.21390190232812,2.547088146209717,100,14,17,0.6404493134135949,0.20918513791101187,0.5978149467406174,0.3661265122092764
9,0,Optimal,65.21390190232812,2.547088146209717,100,15,36,0.6959721951211948,1.3630632520345016,0.8187226600632529,0.284367920626094
10,0,Optimal,65.21390190232812,2.547088146209717,100,16,17,0.269618165281579,1.694179627671948,0.5978149467406174,0.2604127397429127
11,0,Optimal,65.21390190232812,2.547088146209717,100,18,12,0.7758338612664842,1.3505316186990146,0.944931233043533,0.5485900408864075
12,0,Optimal,65.21390190232812,2.547088146209717,100,19,79,0.919786603975601,0.4156725131492159,0.9506634308513014,0.3875193222958956
13,0,Optimal,65.21390190232812,2.547088146209717,100,20,32,0.825898070136897,0.056051727148942784,0.7441896335757562,0.2766095449802346
14,0,Optimal,65.21390190232812,2.547088146209717,100,22,90,0.7808530870520936,0.220989449248235,0.7630175333796697,0.35925650343559906
15,0,Optimal,65.21390190232812,2.547088146209717,100,25,39,0.48548916512171636,0.08572414455693614,0.5958494982078725,0.3010162773756889
16,0,Optimal,65.21390190232812,2.547088146209717,100,26,12,0.9873779797665276,0.09887412005749796,0.944931233043533,0.5485900408864075
17,0,Optimal,65.21390190232812,2.547088146209717,100,27,93,0.9719034681919727,0.6634909470486368,0.7584395664656409,0.2737336205759618
18,0,Optimal,65.21390190232812,2.547088146209717,100,29,87,0.442620042840976,0.7859147444316845,0.5814973651192399,0.2896864723301043
19,0,Optimal,65.21390190232812,2.547088146209717,100,32,71,0.8140043549825214,2.1896371039497016,0.578843180015047,0.42220654378693007
