,round,algorithm,QoS,runtime,n_requests,req_id,req_service,req_acc,req_delay,served_acc,served_delay
0,0,GSP-GRS,14.863591298379653,80.19101405143738,100,19,10,0.3064971627249454,34,0.6398595567689465,6.253429761122069
1,0,GSP-GRS,14.863591298379653,80.19101405143738,100,21,0,0.36303975320120546,46,0.7514041658446806,4.678676309445541
2,0,GSP-GRS,14.863591298379653,80.19101405143738,100,22,56,0.5145193526811694,22,0.6210024446488176,4.4998465921542845
3,0,GSP-GRS,14.863591298379653,80.19101405143738,100,26,66,0.7590502845120585,36,0.6189569220275225,2.4873475830742717
4,0,GSP-GRS,14.863591298379653,80.19101405143738,100,27,61,0.7993253882064005,67,0.4683728813866975,4.630988384834539
5,0,GSP-GRS,14.863591298379653,80.19101405143738,100,30,21,0.9386709738301071,35,0.5371015835248046,3.5730027548209367
6,0,GSP-GRS,14.863591298379653,80.19101405143738,100,32,70,0.48013854615759594,22,0.6000798672073339,6.3722989261450795
7,0,GSP-GRS,14.863591298379653,80.19101405143738,100,45,23,0.18227008878633177,86,0.6840141123643336,2.256704733985149
8,0,GSP-GRS,14.863591298379653,80.19101405143738,100,52,61,0.9716582480057294,37,0.4683728813866975,2.222202535315626
9,0,GSP-GRS,14.863591298379653,80.19101405143738,100,56,17,0.8665126921334918,81,0.608528217100491,4.026824457593689
10,0,GSP-GRS,14.863591298379653,80.19101405143738,100,61,83,0.9386184326986525,84,0.7371564194556607,3.9724517906336088
11,0,GSP-GRS,14.863591298379653,80.19101405143738,100,65,36,0.46572200334370495,41,0.6172381139027082,3.552049090510629
12,0,GSP-GRS,14.863591298379653,80.19101405143738,100,69,58,0.5584444651728487,24,0.5495200559004811,2.5232269703461494
13,0,GSP-GRS,14.863591298379653,80.19101405143738,100,75,53,0.6808637340649086,15,0.6762748968241395,2.577154776669942
14,0,GSP-GRS,14.863591298379653,80.19101405143738,100,94,9,0.9924879237971794,50,0.5685308815741846,5.140828402366864
15,0,GSP-GRS,14.863591298379653,80.19101405143738,100,95,36,0.5191140856864873,23,0.6172381139027082,1.7678752637598054
16,1,GSP-GRS,15.603213420212878,68.91600799560547,100,8,77,0.17263069884117735,65,0.49990425631365976,2.172246823656003
17,1,GSP-GRS,15.603213420212878,68.91600799560547,100,14,94,0.5195458514558904,67,0.64418355846003,3.661715539458104
18,1,GSP-GRS,15.603213420212878,68.91600799560547,100,19,42,0.5489631093342188,52,0.5811086445268079,2.5482486998027287
19,1,GSP-GRS,15.603213420212878,68.91600799560547,100,21,84,0.5977204697870901,69,0.5456140726066004,3.250017413108588
20,1,GSP-GRS,15.603213420212878,68.91600799560547,100,25,56,0.6814040676174725,12,0.6225854991640525,3.4362179089241125
21,1,GSP-GRS,15.603213420212878,68.91600799560547,100,28,77,0.16189807558374275,1,0.49990425631365976,2.172246823656003
