,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.1,0,0.5453289708489707,2.2973719024658203,8.0,20,2.285900650024414,8.5,5.144537002587948
1,0.1,1,0.5289819102675246,2.285900650024414,8.5,20,2.273224639892578,15.0,3.327090266204367
2,0.1,2,0.4585140213747024,2.273224639892578,15.0,20,2.2577460479736327,17.5,2.348894419519504
3,0.1,3,0.43520637089406955,2.2577460479736327,17.5,20,2.238335952758789,28.5,5.200264869360536
4,0.1,4,0.38917582205267703,2.238335952758789,28.5,20,2.210730972290039,25.0,3.821411485070346
5,0.1,5,0.36021938807894716,2.210730972290039,25.0,20,2.190051803588867,24.5,2.562007653163469
6,0.1,6,0.34202790139279876,2.190051803588867,24.5,20,2.155444412231445,35.0,4.6302535686177935
7,0.1,7,0.3653440478554305,2.155444412231445,35.0,20,2.127382583618164,36.5,3.6171926603645748
8,0.1,8,0.28870563656521037,2.127382583618164,36.5,20,2.0928277587890625,44.0,4.7007527349005125
9,0.1,9,0.2706753244640081,2.0928277587890625,44.0,20,2.0552733612060545,43.0,5.4476116005940955
10,0.1,10,0.3072543817048766,2.0552733612060545,43.0,20,2.0111880493164063,50.0,4.392053854166848
11,0.1,11,0.279836433998571,2.0111880493164063,50.0,20,1.968326644897461,38.5,4.674690992300092
12,0.1,12,0.2869642911337676,1.968326644897461,38.5,20,1.9241009521484376,48.5,4.146257061535629
13,0.1,13,0.2678062080662868,1.9241009521484376,48.5,20,1.8775201416015626,58.0,4.927741477616751
14,0.1,14,0.31103389521493374,1.8775201416015626,58.0,20,1.8414234161376952,52.5,5.0105843227771665
15,0.1,15,0.2524802322360823,1.8414234161376952,52.5,20,1.7910853576660157,53.5,4.786203955786894
16,0.1,16,0.23676921619619976,1.7910853576660157,53.5,20,1.7555341720581055,56.5,4.636167374906626
17,0.1,17,0.25195706711288673,1.7555341720581055,56.5,20,1.7018698501586913,60.5,4.850890467588205
18,0.1,18,0.25688685574601794,1.7018698501586913,60.5,20,1.6586057662963867,65.0,5.52496956040239
19,0.1,19,0.25147307750387704,1.6586057662963867,65.0,20,1.6099303817749024,67.5,4.41673503745864
20,0.1,20,0.20411848726102627,1.6099303817749024,67.5,20,1.582709846496582,64.5,4.008473029498798
21,0.1,21,0.20972189566361346,1.582709846496582,64.5,20,1.5424161529541016,65.0,4.554763628112125
22,0.1,22,0.1781520438636309,1.5424161529541016,65.0,20,1.4994221115112305,65.5,4.059393306581275
23,0.1,23,0.23843772056073914,1.4994221115112305,65.5,20,1.4558988571166993,66.5,3.889377633653446
24,0.1,24,0.21719721877969037,1.4558988571166993,66.5,20,1.412663116455078,69.5,5.5503956763976205
25,0.1,25,0.16651626282056034,1.412663116455078,69.5,20,1.396748695373535,68.0,4.13834751591782
26,0.1,26,0.1960558158051496,1.396748695373535,68.0,20,1.3853195190429688,62.5,3.7440106329176905
27,0.1,27,0.16314333410712129,1.3853195190429688,62.5,20,1.3335646438598632,68.0,5.304604237832122
28,0.1,28,0.15875097491799875,1.3335646438598632,68.0,20,1.2626416015625,72.5,5.001147230081489
29,0.1,29,0.19776078241237943,1.2626416015625,72.5,20,1.230069923400879,73.0,4.880500025126754
30,0.1,30,0.20642853928098095,1.230069923400879,73.0,20,1.213435287475586,74.0,5.386758320249206
31,0.1,31,0.14140954604976544,1.213435287475586,74.0,20,1.1694405746459962,75.5,3.6898577345954777
32,0.1,32,0.15502791543950956,1.1694405746459962,75.5,20,1.1592498016357422,72.0,4.064230905012285
33,0.1,33,0.15638539325376077,1.1592498016357422,72.0,20,1.1401860046386718,74.0,4.371212079021629
34,0.1,34,0.16877729249107626,1.1401860046386718,74.0,20,1.0990856552124024,76.5,4.122060127376281
35,0.1,35,0.1950499656256249,1.0990856552124024,76.5,20,1.083101692199707,75.5,5.498837284317855
36,0.1,36,0.1274747006521985,1.083101692199707,75.5,20,1.0422994232177734,76.0,5.319772430911377
37,0.1,37,0.15194232911382458,1.0422994232177734,76.0,20,1.0393989562988282,73.5,3.07747132556283
38,0.1,38,0.14003480486617376,1.0393989562988282,73.5,20,1.012646598815918,77.5,3.967549694747785
39,0.1,39,0.16325328357237281,1.012646598815918,77.5,20,1.0009043502807617,73.5,3.6465114434631207
40,0.1,40,0.14159720793749503,1.0009043502807617,73.5,20,0.971373062133789,74.5,4.875399158484686
41,0.1,41,0.16001828431126366,0.971373062133789,74.5,20,0.9492655181884766,76.5,3.7407961918684816
42,0.1,42,0.1568405463110173,0.9492655181884766,76.5,20,0.957009048461914,75.0,3.2923618639053873
43,0.1,43,0.1920355473683016,0.957009048461914,75.0,20,0.9118148803710937,76.5,7.0125504945192825
44,0.1,44,0.16980892923336655,0.9118148803710937,76.5,20,0.9183436965942383,75.5,4.015311194793252
45,0.1,45,0.15536520843654666,0.9183436965942383,75.5,20,0.9192359161376953,75.5,4.130628522547453
46,0.1,46,0.14115895132121728,0.9192359161376953,75.5,20,0.8703415679931641,78.0,5.064497320959284
47,0.1,47,0.14053121343005234,0.8703415679931641,78.0,20,0.8715688514709473,78.0,4.999759743637542
48,0.1,48,0.15214563040815132,0.8715688514709473,78.0,20,0.8450634384155273,80.0,4.3512046503485715
49,0.1,49,0.17056781338311278,0.8450634384155273,80.0,20,0.8347236633300781,80.5,4.969575928428096
50,0.1,50,0.15223604067770627,0.8347236633300781,80.5,20,0.8192852401733398,78.5,6.265989307188017
51,0.1,51,0.13394442971465587,0.8192852401733398,78.5,20,0.8029837417602539,79.5,4.668413056110066
52,0.1,52,0.19089923495703964,0.8029837417602539,79.5,20,0.8104302024841309,78.5,4.0212199426320225
53,0.1,53,0.14084032960501158,0.8104302024841309,78.5,20,0.7948984909057617,79.5,6.01371413069129
54,0.1,54,0.13054882913455249,0.7948984909057617,79.5,20,0.7728283309936523,81.0,5.107699392167664
55,0.1,55,0.1387766474359306,0.7728283309936523,81.0,20,0.7681675720214843,78.0,4.368346303027483
56,0.1,56,0.12173310840674123,0.7681675720214843,78.0,20,0.7649076843261718,78.0,5.734076019862782
57,0.1,57,0.1512131937728619,0.7649076843261718,78.0,20,0.7623612022399903,77.5,6.17264715460955
58,0.1,58,0.1100913384093892,0.7623612022399903,77.5,20,0.7524167823791504,78.5,4.914955145412444
59,0.1,59,0.13775970178917835,0.7524167823791504,78.5,20,0.7430978965759277,79.0,5.771032001829946
60,0.1,60,0.1402300574200833,0.7430978965759277,79.0,20,0.7209708786010742,79.5,2.9263331992995596
61,0.1,61,0.1598755794111731,0.7209708786010742,79.5,20,0.7187417411804199,80.0,3.2685202030570117
