,Average Loss Train,C,Communication Cost,Large Test Accuracy,Large Test Loss,Round,SDS Accuracy,SDS Loss,Workers Number
0,0.5052755687356045,0.1,3.313828657499265,10.0,2.289076232910156,0,8.0,2.2973719024658203,20
1,0.45048282920850563,0.1,5.595692166942809,8.5,2.275638961791992,1,10.0,2.289076232910156,20
2,0.4367475615175386,0.1,4.1671674938852155,19.5,2.2599111938476564,2,8.5,2.275638961791992,20
3,0.4019780722615395,0.1,4.283685392215583,17.5,2.238818359375,3,19.5,2.2599111938476564,20
4,0.4703459005586724,0.1,5.838727253570664,24.5,2.2158228302001954,4,17.5,2.238818359375,20
5,0.28895406132442886,0.1,2.8187890285765698,28.0,2.19498420715332,5,24.5,2.2158228302001954,20
6,0.3368826819729131,0.1,3.8013863017700604,28.5,2.169005584716797,6,28.0,2.19498420715332,20
7,0.4011086076037415,0.1,4.479946829837611,36.0,2.1325555419921876,7,28.5,2.169005584716797,20
8,0.34070480365442446,0.1,4.707566481821246,50.0,2.090989685058594,8,36.0,2.1325555419921876,20
9,0.2575241220810448,0.1,4.327611564763567,43.5,2.063650894165039,9,50.0,2.090989685058594,20
10,0.32711387976877654,0.1,4.128495256883475,45.0,2.0369331359863283,10,43.5,2.063650894165039,20
11,0.28939444237964923,0.1,4.295370264073193,44.0,1.9886956024169922,11,45.0,2.0369331359863283,20
12,0.26485280882793644,0.1,4.120578064463177,49.0,1.9590194702148438,12,44.0,1.9886956024169922,20
13,0.33022375724390923,0.1,5.2881796071443885,51.0,1.906447982788086,13,49.0,1.9590194702148438,20
14,0.2932385405766448,0.1,3.682376101677373,49.5,1.865617218017578,14,51.0,1.906447982788086,20
15,0.18799679650049655,0.1,2.9836966973365198,61.5,1.8171547698974608,15,49.5,1.865617218017578,20
16,0.3307114660643662,0.1,2.8435706712366473,51.5,1.7870624923706055,16,61.5,1.8171547698974608,20
17,0.22499742481767343,0.1,4.7743574151815,59.5,1.73271484375,17,51.5,1.7870624923706055,20
18,0.19933297302228814,0.1,5.408774278954056,63.0,1.6917933654785156,18,59.5,1.73271484375,20
19,0.21929075147286725,0.1,3.0790027902586723,61.0,1.6461405563354492,19,63.0,1.6917933654785156,20
20,0.22253173986265362,0.1,4.5229748154949325,60.5,1.6135902786254883,20,61.0,1.6461405563354492,20
21,0.18742943789826316,0.1,4.991698728426387,62.5,1.5785902404785157,21,60.5,1.6135902786254883,20
22,0.23789147872527244,0.1,4.914533750182741,60.0,1.5418363571166993,22,62.5,1.5785902404785157,20
23,0.16545061782451453,0.1,4.577430501218846,64.0,1.4918845367431641,23,60.0,1.5418363571166993,20
24,0.21346308318154716,0.1,4.0223398608532115,67.5,1.4453280639648438,24,64.0,1.4918845367431641,20
25,0.2504847848109105,0.1,4.464246620370395,66.5,1.42446044921875,25,67.5,1.4453280639648438,20
26,0.1867654292700852,0.1,3.9963927414956633,68.0,1.3983798980712892,26,66.5,1.42446044921875,20
27,0.15949251186683694,0.1,5.937328342281414,71.5,1.337771110534668,27,68.0,1.3983798980712892,20
28,0.2062318967074575,0.1,3.4351754064005626,69.5,1.328018035888672,28,71.5,1.337771110534668,20
29,0.15733313649202307,0.1,4.279400044297812,71.5,1.2902278900146484,29,69.5,1.328018035888672,20
30,0.22842926252679902,0.1,3.8460983162936024,72.5,1.249151077270508,30,71.5,1.2902278900146484,20
31,0.16031538398310358,0.1,5.455978171767601,74.0,1.2159320831298828,31,72.5,1.249151077270508,20
32,0.22346852711241444,0.1,3.5098684281984194,74.0,1.1911709213256836,32,74.0,1.2159320831298828,20
33,0.17072734781428264,0.1,4.000699977484523,72.0,1.177895851135254,33,74.0,1.1911709213256836,20
34,0.15552760274771088,0.1,4.111103520368901,74.0,1.1484704208374024,34,72.0,1.177895851135254,20
35,0.20295162691535507,0.1,4.656064588658702,73.0,1.1223916244506835,35,74.0,1.1484704208374024,20
36,0.16714868772990144,0.1,4.835290133050558,75.0,1.079368553161621,36,73.0,1.1223916244506835,20
37,0.1357745073389362,0.1,5.386212005116634,74.5,1.0514527893066405,37,75.0,1.079368553161621,20
38,0.13347415043586436,0.1,3.3604517013501796,77.0,1.0448868942260743,38,74.5,1.0514527893066405,20
39,0.1527737307247538,0.1,3.9133698529824503,78.0,1.0106089782714844,39,77.0,1.0448868942260743,20
40,0.1468717343737201,0.1,3.876388757894948,77.0,0.9908541107177734,40,78.0,1.0106089782714844,20
41,0.16498766467777481,0.1,5.0521561917171205,75.0,0.9788691329956055,41,77.0,0.9908541107177734,20
42,0.16131609086325624,0.1,4.3831502526776145,78.5,0.9558134841918945,42,75.0,0.9788691329956055,20
43,0.12159170119010905,0.1,4.773270135742978,78.5,0.9278937911987305,43,78.5,0.9558134841918945,20
44,0.15163966636321508,0.1,4.701727773589415,79.5,0.9100085067749023,44,78.5,0.9278937911987305,20
45,0.14540696754918464,0.1,3.663173401540438,78.5,0.8966005325317383,45,79.5,0.9100085067749023,20
46,0.15852673032792733,0.1,3.7959542098548016,78.5,0.8994534683227539,46,78.5,0.8966005325317383,20
47,0.20024430441261937,0.1,2.4514690643083026,77.0,0.8801708221435547,47,78.5,0.8994534683227539,20
48,0.1539539525910926,0.1,4.251039285993548,78.0,0.8612266540527344,48,77.0,0.8801708221435547,20
49,0.17108828275883875,0.1,4.345728751478984,79.0,0.8474028015136719,49,78.0,0.8612266540527344,20
50,0.18300181341213206,0.1,3.4094158912134778,78.5,0.8576564979553223,50,79.0,0.8474028015136719,20
