,C,Round,Average Loss Train,Average Loss Test,Accuracy Test,Workers Number
0,0.2,0,1.04034018848415,2.307240966796875,9.800000190734863,20
1,0.2,1,0.72087569258199,2.304331665039062,15.800000190734863,20
2,0.2,2,0.6904014666687001,2.443053833007812,18.200000762939453,20
3,0.2,3,0.5224432978360211,2.15388198852539,20.0,20
4,0.2,4,0.542016371273598,2.198645141601562,20.799999237060547,20
5,0.2,5,0.46675038627336,1.924086730957031,27.0,20
6,0.2,6,0.484827633469854,2.169983428955078,30.200000762939453,20
7,0.2,7,0.43446930448261506,2.090314971923828,29.200000762939453,20
8,0.2,8,0.41584287935624503,1.953984771728515,29.600000381469727,20
9,0.2,9,0.44502996441014103,1.93277587890625,26.0,20
10,0.2,10,0.39223057348441803,1.969424743652343,32.400001525878906,20
11,0.2,11,0.44996709121558803,2.12821304321289,27.799999237060547,20
12,0.2,12,0.40933956073723904,1.735632080078125,34.400001525878906,20
13,0.2,13,0.49002612293561104,1.908168334960937,33.400001525878906,20
14,0.2,14,0.47777146576400803,1.650008911132812,41.0,20
15,0.2,15,0.443785873344726,1.700148803710937,38.599998474121094,20
16,0.2,16,0.40544029186531505,1.857060180664062,36.400001525878906,20
17,0.2,17,0.41615178717600004,2.016952239990234,32.599998474121094,20
18,0.2,18,0.45541963205919606,1.845935241699218,34.20000076293945,20
19,0.2,19,0.38088083759857405,1.96154556274414,34.400001525878906,20
20,0.2,20,0.421684806298371,1.594773559570312,39.79999923706055,20
21,0.2,21,0.37113517594114803,1.6892939147949222,37.599998474121094,20
22,0.2,22,0.36173621372771403,1.703510498046875,38.79999923706055,20
23,0.2,23,0.38588161351411804,2.018198577880859,30.399999618530273,20
24,0.2,24,0.389058756973198,1.637715942382812,42.79999923706055,20
25,0.2,25,0.350744672078569,1.626164367675781,43.79999923706055,20
26,0.2,26,0.347750834117573,1.7149020080566402,42.20000076293945,20
27,0.2,27,0.31029753990495,1.811552917480468,36.0,20
28,0.2,28,0.36457091591169305,1.8462705688476562,37.79999923706055,20
29,0.2,29,0.32923891581393505,1.64088540649414,45.599998474121094,20
30,0.2,30,0.328604776795596,1.49385513305664,45.599998474121094,20
31,0.2,31,0.380769327096361,2.142956848144531,32.599998474121094,20
32,0.2,32,0.331135648365924,1.647626831054687,44.400001525878906,20
33,0.2,33,0.318956383977044,1.53908218383789,42.400001525878906,20
34,0.2,34,0.35347742757503803,1.6681972351074221,42.0,20
35,0.2,35,0.311365726802445,1.564517883300781,46.20000076293945,20
36,0.2,36,0.324430257652488,1.574255615234375,44.400001525878906,20
37,0.2,37,0.311340220080348,1.5102514343261721,44.599998474121094,20
38,0.2,38,0.36996331511385505,1.749508422851562,41.599998474121094,20
39,0.2,39,0.271427355705716,1.476171203613281,47.0,20
40,0.2,40,0.27342944266719205,1.872814636230468,36.400001525878906,20
41,0.2,41,0.312304597466303,1.622694946289062,44.0,20
42,0.2,42,0.32248932276361403,1.6143644714355472,43.400001525878906,20
43,0.2,43,0.29029286071681204,1.6898702392578122,42.400001525878906,20
44,0.2,44,0.26427524850705203,1.5334761352539061,47.20000076293945,20
45,0.2,45,0.26538029590800505,1.808262451171875,41.20000076293945,20
46,0.2,46,0.310423185891861,1.7663197937011712,42.79999923706055,20
47,0.2,47,0.268868527296086,1.634691925048828,44.79999923706055,20
48,0.2,48,0.259880207460091,1.585625671386718,44.400001525878906,20
49,0.2,49,0.288764893000034,1.7691242675781251,38.20000076293945,20
50,0.4,0,1.072501567134354,2.303014526367187,10.399999618530273,40
51,0.4,1,0.6378954514464711,2.270784240722656,15.0,40
52,0.4,2,0.5718276882281641,2.162333282470703,15.399999618530273,40
53,0.4,3,0.515393127958639,1.907201599121093,30.600000381469727,40
54,0.4,4,0.505687258987466,1.980740356445312,24.399999618530273,40
55,0.4,5,0.46726769030615106,2.10475,20.399999618530273,40
56,0.4,6,0.44554590201297506,1.7368878479003902,34.599998474121094,40
57,0.4,7,0.44781203564138805,1.713555725097656,35.79999923706055,40
58,0.4,8,0.44641950660909,1.67775308227539,34.599998474121094,40
59,0.4,9,0.45764031733018906,1.669042572021484,39.0,40
60,0.4,10,0.370647531506256,1.7808327331542961,33.400001525878906,40
61,0.4,11,0.38567993865291306,1.6086134033203119,39.20000076293945,40
62,0.4,12,0.40279182916618805,1.562773986816406,40.79999923706055,40
63,0.4,13,0.36097731360559704,1.62585400390625,40.599998474121094,40
64,0.4,14,0.37472484341195805,1.703482879638671,38.0,40
65,0.4,15,0.334145449123039,1.479267913818359,46.20000076293945,40
66,0.4,16,0.379416223264648,1.498221496582031,45.79999923706055,40
67,0.4,17,0.35167687832348704,1.52418115234375,46.400001525878906,40
68,0.4,18,0.336579096053218,1.6631083984375001,41.0,40
69,0.4,19,0.33503929449754605,1.567766479492187,43.79999923706055,40
70,0.4,20,0.35956815448037704,1.433267761230468,47.400001525878906,40
71,0.4,21,0.288272384420011,1.597453186035156,42.599998474121094,40
72,0.4,22,0.270223746517251,1.462717346191406,49.0,40
73,0.4,23,0.28436756297055804,1.452227874755859,47.20000076293945,40
74,0.4,24,0.286378724801701,1.462760803222656,48.79999923706055,40
75,0.4,25,0.30437266908528604,1.404150085449218,50.400001525878906,40
76,0.4,26,0.308400202923698,1.41380419921875,50.79999923706055,40
77,0.4,27,0.279901220063044,1.6380786437988282,46.20000076293945,40
78,0.4,28,0.28180493437381204,1.302794464111328,52.0,40
79,0.4,29,0.23853918536807903,1.279164001464843,54.79999923706055,40
80,0.4,30,0.28288430053656305,1.425647064208984,49.79999923706055,40
81,0.4,31,0.273906283846986,1.400575592041015,51.400001525878906,40
82,0.4,32,0.24294510144797402,1.325905395507812,55.400001525878906,40
83,0.4,33,0.26108039417944,1.438903289794921,46.20000076293945,40
84,0.4,34,0.22735802253890702,1.272656616210937,54.400001525878906,40
85,0.4,35,0.225503995256733,1.343287963867187,51.599998474121094,40
86,0.4,36,0.214432062907278,1.343485046386718,52.400001525878906,40
87,0.4,37,0.22165901945167601,1.316514984130859,54.0,40
88,0.4,38,0.208762792379895,1.246773468017578,56.400001525878906,40
89,0.4,39,0.21232656315491802,1.335510467529296,52.20000076293945,40
90,0.4,40,0.192538880684146,1.392244415283203,51.79999923706055,40
91,0.4,41,0.21622953645832002,1.370062683105468,51.79999923706055,40
92,0.4,42,0.19639223207212902,1.317803237915039,54.20000076293945,40
93,0.4,43,0.192111184118386,1.244375671386718,57.20000076293945,40
94,0.4,44,0.19590725105624002,1.215022277832031,59.400001525878906,40
95,0.4,45,0.185504256575126,1.26999868774414,56.599998474121094,40
96,0.4,46,0.17129951785556402,1.383672546386718,55.20000076293945,40
97,0.4,47,0.19020239686449603,1.2748644104003901,57.79999923706055,40
98,0.4,48,0.173965566694696,1.316156768798828,55.400001525878906,40
99,0.4,49,0.163276244981363,1.3903637084960931,54.20000076293945,40
100,0.6000000000000001,0,0.921962985201863,2.306324096679687,9.199999809265137,60
101,0.6000000000000001,1,0.545790521720183,2.152128112792968,23.799999237060547,60
102,0.6000000000000001,2,0.538266635740226,1.83533657836914,28.600000381469727,60
103,0.6000000000000001,3,0.475120635667905,1.7816387329101562,28.0,60
104,0.6000000000000001,4,0.48322449111722704,1.6708114624023431,37.20000076293945,60
105,0.6000000000000001,5,0.43402457557759405,1.641761962890625,37.0,60
106,0.6000000000000001,6,0.41949862684537803,1.5783421630859369,44.0,60
107,0.6000000000000001,7,0.412775820307401,1.57690640258789,43.0,60
108,0.6000000000000001,8,0.38995927362978305,1.539632385253906,43.20000076293945,60
109,0.6000000000000001,9,0.40327443443508204,1.566559906005859,41.79999923706055,60
110,0.6000000000000001,10,0.37275837470927803,1.5276596374511722,45.400001525878906,60
111,0.6000000000000001,11,0.39239351790945104,1.45129052734375,49.20000076293945,60
112,0.6000000000000001,12,0.37255051094982305,1.566664886474609,45.20000076293945,60
113,0.6000000000000001,13,0.341879878187681,1.4516679382324211,47.79999923706055,60
114,0.6000000000000001,14,0.32984662485187805,1.4837912902832031,45.0,60
115,0.6000000000000001,15,0.316463796492426,1.429174407958984,50.400001525878906,60
116,0.6000000000000001,16,0.286155603275137,1.391989379882812,50.0,60
117,0.6000000000000001,17,0.303974799206645,1.3583225708007811,50.599998474121094,60
118,0.6000000000000001,18,0.29296958527639605,1.436555847167968,49.20000076293945,60
119,0.6000000000000001,19,0.26797743368091204,1.396304412841797,50.0,60
120,0.6000000000000001,20,0.27393323567994204,1.429890533447265,47.400001525878906,60
121,0.6000000000000001,21,0.259071754670819,1.372187469482421,50.0,60
122,0.6000000000000001,22,0.277680656783629,1.325743835449218,51.79999923706055,60
123,0.6000000000000001,23,0.24901611095821002,1.368462493896484,50.400001525878906,60
124,0.6000000000000001,24,0.24004181677473801,1.305027862548828,51.20000076293945,60
125,0.6000000000000001,25,0.24602449438370902,1.445410522460937,50.79999923706055,60
126,0.6000000000000001,26,0.21780313621361302,1.433592620849609,50.0,60
127,0.6000000000000001,27,0.21616681795619302,1.436677825927734,51.400001525878906,60
128,0.6000000000000001,28,0.217880221179538,1.361495513916015,50.599998474121094,60
129,0.6000000000000001,29,0.198327232811318,1.456412628173828,50.20000076293945,60
130,0.6000000000000001,30,0.20068044497240703,1.357084411621093,52.599998474121094,60
131,0.6000000000000001,31,0.197776220424732,1.303859771728515,53.599998474121094,60
132,0.6000000000000001,32,0.184387038758029,1.372083374023437,52.79999923706055,60
133,0.6000000000000001,33,0.171849052424349,1.405019805908203,50.0,60
134,0.6000000000000001,34,0.167634453390298,1.398700561523437,54.79999923706055,60
135,0.6000000000000001,35,0.169880334150869,1.40984146118164,49.400001525878906,60
136,0.6000000000000001,36,0.162741571170422,1.360442138671875,53.599998474121094,60
137,0.6000000000000001,37,0.153243765474526,1.270546447753906,53.599998474121094,60
138,0.6000000000000001,38,0.16047654678872902,1.3217222595214841,55.400001525878906,60
139,0.6000000000000001,39,0.15186434999444,1.278407623291015,54.20000076293945,60
140,0.6000000000000001,40,0.14297985640861302,1.32838442993164,54.599998474121094,60
141,0.6000000000000001,41,0.14636979066431502,1.395188079833984,54.0,60
142,0.6000000000000001,42,0.15123125060269402,1.5072133178710931,51.400001525878906,60
143,0.6000000000000001,43,0.139611362814542,1.324595733642578,53.79999923706055,60
144,0.6000000000000001,44,0.141124801362458,1.347143920898437,53.20000076293945,60
145,0.6000000000000001,45,0.134373226886221,1.423839904785156,51.0,60
146,0.6000000000000001,46,0.132493311661029,1.380715515136718,53.400001525878906,60
147,0.6000000000000001,47,0.144802346347328,1.3901010437011712,53.79999923706055,60
148,0.6000000000000001,48,0.137221752027471,1.334195678710937,55.599998474121094,60
149,0.6000000000000001,49,0.13702313193173402,1.337140655517578,56.599998474121094,60
150,0.8,0,0.78723145842977,2.3091904296875,9.399999618530273,80
151,0.8,1,0.5297138682194731,2.156232025146484,20.799999237060547,80
152,0.8,2,0.46358116541308203,1.864086273193359,29.0,80
