,C,Round,Average Loss Train,Average Loss Test,Accuracy Test,Workers Number
0,0.2,0,2.114487037062645,2.301551513671875,11.600000381469727,4
1,0.2,1,1.111162240089739,2.326980102539062,11.399999618530273,17
2,0.2,2,0.9179951493740081,2.364956665039062,17.0,2
3,0.2,3,0.708523987514572,4.37251318359375,11.399999618530273,20
4,0.2,4,0.676039460437863,2.416984680175781,18.399999618530273,18
5,0.2,5,0.6143078800638511,2.201851440429687,22.0,3
6,0.2,6,0.48601133179352,4.3699492187499995,15.600000381469727,20
7,0.2,7,0.509556357479592,2.0700693359375,25.399999618530273,15
8,0.2,8,0.691643448710441,2.098938568115234,25.399999618530273,1
9,0.2,9,0.5318324128202391,5.077354370117187,15.199999809265137,20
10,0.2,10,0.49959625227793103,2.037407989501953,22.799999237060547,17
11,0.2,11,0.5273920507724861,1.7795505371093752,33.599998474121094,20
12,0.2,12,0.419140302586805,2.296643371582031,21.200000762939453,20
13,0.2,13,0.482986546501365,1.9393438415527342,30.600000381469727,20
14,0.2,14,0.496501664607973,1.814014709472656,32.20000076293945,18
15,0.2,15,0.48846619419660403,1.7713847656250001,37.400001525878906,6
16,0.2,16,0.44525495127961,2.334125671386719,30.399999618530273,17
17,0.2,17,0.39489592407241,1.9261665954589842,31.200000762939453,20
18,0.2,18,0.49302253097767607,1.641813842773437,41.79999923706055,15
19,0.2,19,0.44716852318495504,1.9264041442871092,30.799999237060547,14
20,0.2,20,0.19388948145508703,1.92575308227539,31.799999237060547,1
21,0.2,21,0.48766347404522803,4.777107543945313,19.0,20
22,0.2,22,0.5467759404003151,1.680440704345703,40.79999923706055,8
23,0.2,23,0.37150466233275303,1.868928131103515,38.400001525878906,20
24,0.2,24,0.42097004306448005,1.8094263000488282,35.0,20
25,0.2,25,0.48712512525608703,1.927815460205078,31.799999237060547,20
26,0.2,26,0.41070384952217504,2.256158630371093,26.0,20
27,0.2,27,0.39845437665069905,1.719890380859375,37.20000076293945,11
28,0.2,28,0.273214871153235,1.814625122070312,39.20000076293945,1
29,0.2,29,0.40821700541196604,4.437503295898438,20.0,20
30,0.2,30,0.4015913505561,1.856787994384765,38.79999923706055,13
31,0.2,31,0.36077735758808505,1.615803802490234,42.20000076293945,20
32,0.2,32,0.33133450864283304,1.7939371337890622,38.599998474121094,20
33,0.2,33,0.38130950052970003,2.072604949951172,33.400001525878906,19
34,0.2,34,0.34821108551483404,1.725859680175781,42.400001525878906,16
35,0.2,35,0.41905380550834004,1.668150817871093,39.79999923706055,6
36,0.2,36,0.40004351847006403,2.129745330810546,33.599998474121094,10
37,0.2,37,0.391282841837269,1.8472730102539061,34.79999923706055,20
38,0.2,38,0.35327190619096505,1.5495048828125,45.79999923706055,18
39,0.2,39,0.36622505972906905,1.63802099609375,44.400001525878906,8
40,0.2,40,0.38241532978881104,2.059310760498046,35.20000076293945,10
