,C,Round,Average Loss Train,SDS Loss,SDS Accuracy,Workers Number,Large Test Loss,Large Test Accuracy,Communication Cost
0,0.5,0,0.07162285122003423,2.3180245208740233,9.0,60,2.1794545745849607,32.5,26.17067071070786
1,0.5,1,0.08105521358440237,2.1794545745849607,32.5,60,1.9656338500976562,35.5,27.19388276626402
2,0.5,2,0.07692800353197589,1.9656338500976562,35.5,60,1.716282272338867,52.5,24.37062057900661
3,0.5,3,0.0624783076953284,1.716282272338867,52.5,60,1.4538976669311523,64.5,24.183373094022024
4,0.5,4,0.07356065658463537,1.4538976669311523,64.5,60,1.2202749633789063,74.0,23.752013326756824
5,0.5,5,0.05692848340409791,1.2202749633789063,74.0,60,1.1016380310058593,70.0,26.52173664811204
6,0.5,6,0.05459438608341916,1.1016380310058593,70.0,60,0.9906805419921875,74.0,28.158704323044162
7,0.5,7,0.06335888384488382,0.9906805419921875,74.0,60,0.9122487258911133,76.0,27.25305853195396
8,0.5,8,0.06278831790821866,0.9122487258911133,76.0,60,0.8104658889770507,83.5,27.08065500327239
9,0.5,9,0.061128640049226704,0.8104658889770507,83.5,60,0.779114055633545,82.5,27.820682463989495
10,0.5,10,0.0623977316084889,0.779114055633545,82.5,60,0.7219847869873047,83.5,25.522061775053114
11,0.5,11,0.0540008539937135,0.7219847869873047,83.5,60,0.7116431999206543,78.0,26.120257000028754
12,0.5,12,0.0432917559881976,0.7116431999206543,78.0,60,0.6766790962219238,83.0,27.032776986792705
13,0.5,13,0.040193454716640015,0.6766790962219238,83.0,60,0.6527548027038574,83.0,24.88577224864171
14,0.5,14,0.040110210465091264,0.6527548027038574,83.0,60,0.6235243034362793,82.5,27.463213304477975
15,0.5,15,0.04988779709348844,0.6235243034362793,82.5,60,0.6125144577026367,83.0,25.43887334553904
16,0.5,16,0.0365363141109454,0.6125144577026367,83.0,60,0.5937736511230469,81.5,24.084995109013594
17,0.5,17,0.04057613570775048,0.5937736511230469,81.5,60,0.5851149559020996,82.0,26.479289477183983
18,0.5,18,0.05007076401421643,0.5851149559020996,82.0,60,0.5748099136352539,82.0,25.34348411141876
19,0.5,19,0.038420075989023694,0.5748099136352539,82.0,60,0.5544548034667969,84.0,27.82060965530512
20,0.5,20,0.04572960112043226,0.5544548034667969,84.0,60,0.5509141159057617,82.0,27.244552607024822
21,0.5,21,0.04468736746970126,0.5509141159057617,82.0,60,0.5320726013183594,85.5,24.69257537365482
22,0.5,22,0.04449144112825754,0.5320726013183594,85.5,60,0.5643377685546875,80.5,25.238252970887135
23,0.5,23,0.03705252990225753,0.5643377685546875,80.5,60,0.5337492752075196,82.5,24.581181753573603
24,0.5,24,0.04506436940645176,0.5337492752075196,82.5,60,0.5218305778503418,82.0,26.62702810314559
25,0.5,25,0.03871992936880266,0.5218305778503418,82.0,60,0.49683443069458005,82.5,24.222246572030347
26,0.5,26,0.03506791845039724,0.49683443069458005,82.5,60,0.5020188331604004,82.5,28.22306123422672
27,0.5,27,0.0316854689930556,0.5020188331604004,82.5,60,0.48274889945983884,84.0,26.40572583107732
28,0.5,28,0.045327535559649544,0.48274889945983884,84.0,60,0.49918371200561523,84.0,26.008368312157184
29,0.5,29,0.0412012737358381,0.49918371200561523,84.0,60,0.4699319648742676,82.5,27.999138547812095
30,0.5,30,0.048494842579999045,0.4699319648742676,82.5,60,0.4715123176574707,84.0,25.396988521248872
31,0.5,31,0.028450733775417233,0.4715123176574707,84.0,60,0.49576749801635744,84.0,26.89728016102513
32,0.5,32,0.03856412340916511,0.49576749801635744,84.0,60,0.464742431640625,83.5,26.757151799494146
33,0.5,33,0.03724967288260897,0.464742431640625,83.5,60,0.47485939025878904,82.0,26.29096446175144
34,0.5,34,0.04072188029616726,0.47485939025878904,82.0,60,0.47899839401245115,83.0,23.813798302690447
35,0.5,35,0.04392551852353683,0.47899839401245115,83.0,60,0.4642423915863037,83.0,26.068242255107144
36,0.5,36,0.030020394073277785,0.4642423915863037,83.0,60,0.4484637928009033,84.5,27.781784076680452
37,0.5,37,0.03861352347309674,0.4484637928009033,84.5,60,0.4928439521789551,83.5,26.38247083024898
38,0.5,38,0.03315283564065727,0.4928439521789551,83.5,60,0.44197901725769045,82.0,24.490085311858053
39,0.5,39,0.039864927927149865,0.44197901725769045,82.0,60,0.4545322036743164,83.0,28.3269939585539
40,0.5,40,0.041223491167261005,0.4545322036743164,83.0,60,0.4314167022705078,83.0,29.28112692659156
41,0.5,41,0.02944781711640941,0.4314167022705078,83.0,60,0.42925008773803713,83.0,25.65154865712378
42,0.5,42,0.03342651674238277,0.42925008773803713,83.0,60,0.4453485107421875,84.0,23.335358114088333
43,0.5,43,0.029292045153424488,0.4453485107421875,84.0,60,0.42699158668518067,83.5,25.29270056432066
44,0.5,44,0.03247628523117782,0.42699158668518067,83.5,60,0.4458050346374512,83.0,25.394133278501165
45,0.5,45,0.03870060581856353,0.4458050346374512,83.0,60,0.43111414909362794,83.5,25.45612657499034
46,0.5,46,0.032262112870327354,0.43111414909362794,83.5,60,0.42789348602294924,83.5,25.71891594480146
47,0.5,47,0.03534939776080679,0.42789348602294924,83.5,60,0.4389829444885254,83.0,24.621913728114006
48,0.5,48,0.035209356933878486,0.4389829444885254,83.0,60,0.42141841888427733,83.0,24.089681057524345
49,0.5,49,0.037980183749653354,0.42141841888427733,83.0,60,0.43443353652954103,84.5,24.185107121167295
50,0.5,50,0.03112007221928589,0.43443353652954103,84.5,60,0.41498340606689454,83.5,24.762597336054434
51,0.5,51,0.028599610749181652,0.41498340606689454,83.5,60,0.40883681297302243,83.0,27.258322166556006
