,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,EGP,86.7754359549769,0.36426591873168945,100,95,11,63
1,1,EGP,84.30579593250813,0.5951368808746338,100,92,5,52
2,2,EGP,73.42191896292982,0.410991907119751,100,78,11,56
3,3,EGP,80.2313875887322,0.5604548454284668,100,88,8,53
4,4,EGP,82.32926336871745,0.5080661773681641,100,89,10,65
5,0,EGP,117.29504025807178,0.6813869476318359,200,126,17,76
6,1,EGP,111.84966637017426,0.6666769981384277,200,120,13,80
7,2,EGP,117.20451919829462,0.4384748935699463,200,128,14,66
8,3,EGP,118.44550956050325,0.7135360240936279,200,129,20,71
9,4,EGP,112.51932975273466,0.5417542457580566,200,121,16,77
10,0,EGP,121.22464974715162,0.5272080898284912,300,135,11,66
11,1,EGP,130.48355751893223,0.6611158847808838,300,146,11,77
12,2,EGP,118.6975129797028,0.5921568870544434,300,132,9,73
13,3,EGP,132.3592423292114,0.572260856628418,300,147,13,73
14,4,EGP,126.39899374775821,0.7171390056610107,300,139,14,73
15,0,EGP,148.41575624879314,0.6741721630096436,400,172,7,74
16,1,EGP,125.26714674770035,0.7018511295318604,400,143,8,75
17,2,EGP,149.09793122748076,0.7586159706115723,400,171,21,74
18,3,EGP,138.86421499457097,0.5155739784240723,400,161,8,56
19,4,EGP,147.19734885218125,0.843034029006958,400,170,12,70
20,0,EGP,167.97890644728238,0.8886010646820068,500,203,6,63
21,1,EGP,150.202898030079,0.7826058864593506,500,184,11,60
22,2,EGP,177.92809483783617,0.7598230838775635,500,215,8,68
23,3,EGP,164.76699254772592,0.9403970241546631,500,195,10,64
24,4,EGP,159.07924029706547,0.7037820816040039,500,188,5,62
25,0,Knapsack,56.07254028332768,2.74971604347229,100,60,9,43
26,1,Knapsack,55.74114496931082,3.0972678661346436,100,60,10,47
27,2,Knapsack,49.528779642669626,2.4692800045013428,100,53,7,34
28,3,Knapsack,57.37252428350742,2.5994038581848145,100,63,5,36
29,4,Knapsack,54.39460484916151,2.6937570571899414,100,59,6,45
30,0,Knapsack,70.70564224643613,3.3192851543426514,200,77,6,39
31,1,Knapsack,62.71781230269535,2.8402769565582275,200,69,7,42
32,2,Knapsack,66.48304013745407,2.823371171951294,200,74,8,42
33,3,Knapsack,56.48526983888866,2.7291462421417236,200,62,3,31
34,4,Knapsack,65.21341747070299,2.84749698638916,200,72,5,39
35,0,Knapsack,77.49463089515964,2.7776618003845215,300,89,4,40
36,1,Knapsack,72.60901188164073,2.9084091186523438,300,83,6,36
37,2,Knapsack,77.97366880899901,2.6410880088806152,300,89,7,36
38,3,Knapsack,73.03599862941867,3.118212938308716,300,83,11,36
39,4,Knapsack,69.43507568966541,3.091642141342163,300,79,5,34
40,0,Knapsack,104.64556702210379,3.028707265853882,400,126,6,42
41,1,Knapsack,86.4895222146914,3.027495861053467,400,102,3,42
42,2,Knapsack,82.72544678827921,2.835024118423462,400,99,3,31
43,3,Knapsack,94.57954378396825,3.265990734100342,400,114,3,28
44,4,Knapsack,100.84581680202312,3.1874589920043945,400,119,2,44
45,0,Knapsack,110.80174403162536,3.242449998855591,500,135,3,36
46,1,Knapsack,93.15516874246376,2.988851308822632,500,110,4,35
47,2,Knapsack,109.35561375965551,3.486159086227417,500,132,6,41
48,3,Knapsack,110.28754867224912,3.061422824859619,500,133,5,34
49,4,Knapsack,96.271213447274,2.786972999572754,500,117,2,38
50,0,Random,8.237033056775845,0.004244804382324219,100,10,1,3
51,1,Random,11.122948547513202,0.005677223205566406,100,13,0,7
52,2,Random,12.448281456630415,0.004536867141723633,100,15,1,12
53,3,Random,8.843790648805165,0.004866123199462891,100,10,0,5
54,4,Random,11.341846438458859,0.004476070404052734,100,13,0,6
55,0,Random,19.26367267269761,0.0051958560943603516,200,23,0,8
56,1,Random,10.16604284388085,0.0054168701171875,200,13,0,2
57,2,Random,15.571788617852892,0.005032777786254883,200,19,0,7
58,3,Random,17.58244479364182,0.005911111831665039,200,22,0,5
59,4,Random,11.478012549847188,0.005085945129394531,200,14,0,4
60,0,Random,19.28668039437316,0.005558967590332031,300,24,0,4
61,1,Random,29.64238272637309,0.0057179927825927734,300,37,0,8
62,2,Random,22.948518729613205,0.005767107009887695,300,29,0,8
63,3,Random,26.432249273021764,0.005322933197021484,300,32,1,14
64,4,Random,23.04983176869966,0.005613088607788086,300,29,0,6
65,0,Random,20.140805484172922,0.005262136459350586,400,27,0,1
66,1,Random,20.094480006628917,0.00573420524597168,400,26,0,5
67,2,Random,37.248789150480825,0.006208181381225586,400,50,1,8
68,3,Random,38.300104867346654,0.006022930145263672,400,50,1,14
69,4,Random,22.54766091941731,0.005995988845825195,400,29,0,8
70,0,Random,46.522878005283474,0.006683826446533203,500,65,2,10
71,1,Random,47.541595169231826,0.006359100341796875,500,64,0,15
72,2,Random,31.752339931642293,0.0069391727447509766,500,44,0,5
73,3,Random,38.90736844603887,0.0066640377044677734,500,57,0,11
74,4,Random,37.231070031304284,0.006150007247924805,500,56,0,9
