,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,Optimal,64.76464260094548,0.6218481063842773,100,73.0,4,48
1,1,Optimal,61.776585889027174,0.7377359867095947,100,69.0,8,40
2,0,Optimal,86.24007482541495,2.8006539344787598,200,97.0,6,43
3,1,Optimal,85.35625025318419,39.55590510368347,200,98.0,6,42
4,0,Optimal,97.51143507308284,3.1099038124084473,300,116.0,1,39
5,1,Optimal,104.93401055206908,3.020904064178467,300,124.0,2,51
6,0,Optimal,122.67249550418329,2.0597729682922363,400,152.0,3,40
7,1,Optimal,114.90704038084105,5.369343996047974,400,145.0,2,37
8,0,Optimal,125.6505756615659,2.161849021911621,500,164.0,1,34
9,1,Optimal,105.05749344336171,28.878859996795654,500,132.0,1,31
10,0,Optimal,130.0761315679668,4.519184827804565,600,175.0,1,31
11,1,Optimal,124.00696746054965,10.44308590888977,600,169.0,0,27
12,0,Optimal,141.71071881079556,9.152559995651245,700,195.0,2,38
13,1,Optimal,137.08172388608844,4.093533039093018,700,198.0,0,28
14,0,Optimal,158.0813281029308,122.9775800704956,800,237.0,1,38
15,1,Optimal,157.75527594811635,7.015937805175781,800,225.0,0,36
16,0,Optimal,142.43012082612577,6.638293027877808,900,213.0,2,41
17,1,Optimal,140.52599260152442,2.313194751739502,900,222.0,0,27
18,0,Optimal,142.79119705897085,47.14977526664734,1000,238.0,0,37
19,1,Optimal,142.15820227281182,123.48049879074097,1000,236.0,0,28
20,0,EGP,67.13567135324307,0.009042024612426758,100,77.0,3,52
21,1,EGP,67.19530390702693,0.011057853698730469,100,78.0,3,45
22,0,EGP,81.96300500953826,0.025291919708251953,200,95.0,3,35
23,1,EGP,74.60471644342226,0.02589702606201172,200,87.0,4,38
24,0,EGP,67.82236702768124,0.041693925857543945,300,81.0,2,27
25,1,EGP,83.08848013569627,0.043276071548461914,300,99.0,3,36
26,0,EGP,96.31737370226496,0.06038212776184082,400,117.0,3,39
27,1,EGP,76.65134344703469,0.06870579719543457,400,96.0,1,23
28,0,EGP,86.56097125656105,0.09293603897094727,500,113.0,1,21
29,1,EGP,90.9356558701708,0.09056591987609863,500,115.0,5,28
30,0,EGP,117.62319855188493,0.10695910453796387,600,157.0,2,28
31,1,EGP,101.81763247439802,0.11872005462646484,600,133.0,2,24
32,0,EGP,114.48408720727745,0.11559724807739258,700,159.0,1,24
33,1,EGP,97.29730457774606,0.15510201454162598,700,140.0,2,20
34,0,EGP,126.8438127045727,0.145521879196167,800,181.0,1,27
35,1,EGP,109.05615905150061,0.16898107528686523,800,158.0,0,21
36,0,EGP,112.57513286513773,0.18270206451416016,900,178.0,0,17
37,1,EGP,105.06909007131185,0.17719101905822754,900,162.0,1,27
38,0,EGP,120.49534603470414,0.17828893661499023,1000,193.0,0,30
39,1,EGP,126.89493217237529,0.19347834587097168,1000,205.0,0,26
40,0,AGP,52.83702857131992,19.315576791763306,100,56.0,11,40
41,1,AGP,50.20901183646031,22.099754810333252,100,53.0,8,38
42,0,AGP,67.15745138303177,40.551913022994995,200,72.0,18,45
43,1,AGP,55.82324467188747,28.962424993515015,200,59.0,16,37
44,0,AGP,68.60222476942194,35.59542512893677,300,76.0,13,43
45,1,AGP,83.59600174349482,45.3550341129303,300,93.0,10,54
46,0,AGP,92.62186159771989,64.52498698234558,400,107.0,5,40
47,1,AGP,87.03320120793852,69.57871508598328,400,101.0,5,42
48,0,AGP,94.15945453638639,90.82760691642761,500,111.0,1,48
49,1,AGP,104.08400539074361,100.01510071754456,500,125.0,1,33
50,0,AGP,115.84433877328426,102.70115208625793,600,145.0,6,32
51,1,AGP,110.32244480997954,107.82615184783936,600,141.0,2,34
52,0,AGP,100.97721481524033,85.6802990436554,700,132.0,3,27
53,1,AGP,95.08314271347035,98.41998529434204,700,120.0,4,34
54,0,AGP,126.83852580130393,133.28432607650757,800,171.0,2,34
55,1,AGP,109.46242020764694,125.93280506134033,800,150.0,0,31
56,0,AGP,115.24060696963794,136.7556848526001,900,160.0,1,44
57,1,AGP,110.38157382498892,127.54809999465942,900,155.0,0,29
58,0,AGP,116.62378857067581,128.73179602622986,1000,172.0,0,28
59,1,AGP,113.40503414534854,127.23154401779175,1000,164.0,2,36
60,0,Knapsack,42.119796545039094,2.287122964859009,100,46.0,8,37
61,1,Knapsack,46.43362345005661,3.227165937423706,100,50.0,7,42
62,0,Knapsack,56.103501025483624,3.0830490589141846,200,62.0,5,32
63,1,Knapsack,54.37003344887403,3.0303261280059814,200,60.0,6,34
64,0,Knapsack,73.20017709221553,2.924673080444336,300,85.0,4,41
65,1,Knapsack,64.80215779168061,3.0809218883514404,300,74.0,7,31
66,0,Knapsack,77.52178380734077,2.6685421466827393,400,96.0,2,27
67,1,Knapsack,75.54581123065374,2.8482422828674316,400,90.0,3,27
68,0,Knapsack,90.25505694018558,3.033656120300293,500,118.0,0,28
69,1,Knapsack,75.24327542738216,3.0794577598571777,500,97.0,2,14
70,0,Knapsack,78.219000224916,2.8078181743621826,600,99.0,5,25
71,1,Knapsack,93.05364196377488,2.9712371826171875,600,125.0,2,27
72,0,Knapsack,80.3745539263314,2.5707180500030518,700,109.0,1,18
73,1,Knapsack,104.3179881399749,3.0690622329711914,700,142.0,1,26
74,0,Knapsack,104.34355204600332,2.986783027648926,800,153.0,0,29
75,1,Knapsack,96.93633016909304,3.2740638256073,800,140.0,0,20
76,0,Knapsack,106.74830106623698,3.233065128326416,900,159.0,1,27
77,1,Knapsack,109.07289066554351,2.9870879650115967,900,165.0,1,33
78,0,Knapsack,125.87014570887591,2.708688974380493,1000,200.0,1,38
79,1,Knapsack,91.15652067858657,2.724639892578125,1000,143.0,0,23
80,0,Random,1.6196418853577903,0.004303932189941406,100,2.0,0,1
81,1,Random,5.130614616988568,0.00516510009765625,100,6.0,1,3
82,0,Random,10.959066246050696,0.005213022232055664,200,13.0,1,7
83,1,Random,8.758951235731057,0.0054111480712890625,200,10.0,2,7
84,0,Random,9.838264381595371,0.005156040191650391,300,12.0,1,3
85,1,Random,11.210409109260429,0.005700111389160156,300,14.0,1,5
86,0,Random,7.949147337944959,0.0056400299072265625,400,10.0,0,2
87,1,Random,13.653872781843065,0.005906105041503906,400,17.0,0,6
88,0,Random,24.480523677538937,0.006329059600830078,500,35.0,0,1
89,1,Random,28.512273799131652,0.006747245788574219,500,39.0,0,1
90,0,Random,21.94616880294964,0.006783962249755859,600,31.0,1,4
91,1,Random,24.085449980626496,0.00696873664855957,600,35.0,1,4
92,0,Random,22.440618229863688,0.006504058837890625,700,32.0,0,4
93,1,Random,26.297805742879085,0.0077152252197265625,700,39.0,0,3
94,0,Random,25.344738977852725,0.006521940231323242,800,39.0,0,6
95,1,Random,37.625303057531696,0.007300853729248047,800,59.0,0,3
96,0,Random,36.603096868559945,0.0077686309814453125,900,68.0,0,4
97,1,Random,37.25698254749754,0.007971048355102539,900,62.0,1,11
98,0,Random,30.863185660036688,0.007597208023071289,1000,61.0,1,7
99,1,Random,32.7774477934669,0.007454872131347656,1000,54.0,0,11
