,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
0,0,Optimal,90.74339454116934,0.22094297409057617,100,100.0,11,66
1,1,Optimal,91.8250322706395,0.24491596221923828,100,100.0,10,58
2,2,Optimal,91.46662575557582,0.20422887802124023,100,100.0,11,67
3,3,Optimal,92.78001490791786,0.24918699264526367,100,100.0,15,60
4,4,Optimal,90.84944505186604,0.2076399326324463,100,100.0,9,68
5,0,Optimal,177.46164316131643,0.28012990951538086,200,200.0,7,94
6,1,Optimal,176.27387872226666,0.31519508361816406,200,200.0,15,87
7,2,Optimal,178.21915961272182,0.2595639228820801,200,200.0,16,98
8,3,Optimal,180.94118351367226,0.28700900077819824,200,200.0,14,103
9,4,Optimal,174.1939868445595,0.2696220874786377,200,200.0,10,78
10,0,Optimal,260.57590091516613,0.32273101806640625,300,300.0,14,123
11,1,Optimal,262.79125232478293,0.3353428840637207,300,300.0,20,125
12,2,Optimal,264.1875132197812,0.46248292922973633,300,300.0,20,120
13,3,Optimal,260.82872727356926,0.4490969181060791,300,300.0,15,126
14,4,Optimal,260.19820248250727,0.34439611434936523,300,300.0,17,109
15,0,Optimal,337.5389165896962,0.364926815032959,400,400.0,13,117
16,1,Optimal,338.19828864898886,0.6986069679260254,400,400.0,15,128
17,2,Optimal,334.42531514828653,0.7837588787078857,400,400.0,16,107
18,3,Optimal,338.0854490783067,0.6756980419158936,400,400.0,10,125
19,4,Optimal,343.0611113133611,0.6999421119689941,400,400.0,24,140
20,0,Optimal,408.4819832681259,0.8899939060211182,500,500.0,11,113
21,1,Optimal,400.99175227657463,1.0452070236206055,500,500.0,11,120
22,2,Optimal,416.07959592157374,0.8640408515930176,500,500.0,13,161
23,3,Optimal,409.0758505667766,1.0274937152862549,500,500.0,14,142
24,4,Optimal,410.05221972137343,1.3555481433868408,500,500.0,9,141
25,0,EGP,85.77575324951646,0.008199930191040039,100,99.0,3,58
26,1,EGP,87.4571201343409,0.009389877319335938,100,99.0,9,59
27,2,EGP,85.46219988334742,0.008786916732788086,100,98.0,5,58
28,3,EGP,86.00068168237753,0.009215831756591797,100,98.0,6,60
29,4,EGP,84.2574615385822,0.00886225700378418,100,97.0,4,55
30,0,EGP,137.96074028351097,0.02234482765197754,200,163.0,5,61
31,1,EGP,135.94440422047032,0.024396181106567383,200,158.0,8,76
32,2,EGP,135.32703989766978,0.023917198181152344,200,160.0,1,51
33,3,EGP,136.20291680759996,0.02434992790222168,200,158.0,5,66
34,4,EGP,132.23401449798686,0.023689985275268555,200,153.0,10,66
35,0,EGP,165.58875058467632,0.042616844177246094,300,200.0,4,61
36,1,EGP,175.71247454472538,0.04521298408508301,300,210.0,4,39
37,2,EGP,170.64703072732613,0.04673576354980469,300,209.0,5,50
38,3,EGP,173.7092684525446,0.04537391662597656,300,208.0,3,65
39,4,EGP,169.2017499817358,0.0466008186340332,300,204.0,2,55
40,0,EGP,211.967746665959,0.07208395004272461,400,265.0,2,53
41,1,EGP,207.94207175608136,0.07409977912902832,400,257.0,7,64
42,2,EGP,206.53435060211856,0.0793619155883789,400,255.0,1,56
43,3,EGP,224.78801388636552,0.07782816886901855,400,276.0,5,74
44,4,EGP,195.9416807828157,0.08089303970336914,400,250.0,3,52
45,0,EGP,243.89551492933316,0.1219630241394043,500,326.0,0,61
46,1,EGP,257.26747823388274,0.11742591857910156,500,337.0,4,75
47,2,EGP,261.8799282660787,0.11662411689758301,500,337.0,1,66
48,3,EGP,260.94573656105126,0.12445473670959473,500,340.0,4,69
49,4,EGP,240.32687078553138,0.11642193794250488,500,321.0,1,43
50,0,EGP-v2,91.63337394728654,0.11919307708740234,100,100.0,11,65
51,1,EGP-v2,92.29651281820001,0.14266610145568848,100,100.0,15,63
52,2,EGP-v2,91.16465286065653,0.11466813087463379,100,100.0,10,67
53,3,EGP-v2,93.0891897672372,0.14317584037780762,100,100.0,14,66
54,4,EGP-v2,91.73610615168353,0.12941479682922363,100,100.0,9,72
55,0,EGP-v2,178.8124699712128,0.2167060375213623,200,200.0,8,89
56,1,EGP-v2,176.09365811252022,0.20217299461364746,200,200.0,15,99
57,2,EGP-v2,178.22851229591254,0.21293997764587402,200,200.0,17,105
58,3,EGP-v2,179.15392197944945,0.2249460220336914,200,200.0,14,101
59,4,EGP-v2,179.89266641124763,0.1830437183380127,200,200.0,13,98
60,0,EGP-v2,259.8322116913637,0.2364058494567871,300,300.0,15,114
61,1,EGP-v2,261.39263521540863,0.2711067199707031,300,300.0,15,107
62,2,EGP-v2,262.534776035924,0.2556898593902588,300,300.0,15,127
63,3,EGP-v2,259.03169840946117,0.2662482261657715,300,300.0,6,117
64,4,EGP-v2,258.070137266089,0.26996302604675293,300,300.0,12,105
65,0,EGP-v2,329.689720991608,0.3115499019622803,400,400.0,8,105
66,1,EGP-v2,335.64300119114193,0.3270092010498047,400,397.0,10,109
67,2,EGP-v2,329.90350133671615,0.35238075256347656,400,399.0,12,118
68,3,EGP-v2,331.9788992229856,0.3183138370513916,400,394.0,19,131
69,4,EGP-v2,326.2645766409356,0.33696579933166504,400,392.0,10,112
70,0,EGP-v2,395.00945817227415,0.40343594551086426,500,482.0,11,127
71,1,EGP-v2,402.08132714685684,0.41089797019958496,500,495.0,8,133
72,2,EGP-v2,388.37077434710545,0.4074060916900635,500,473.0,20,142
73,3,EGP-v2,412.09542743248846,0.4428880214691162,500,494.0,19,149
74,4,EGP-v2,383.3001391411404,0.40692996978759766,500,470.0,13,130
75,0,Knapsack,91.32476620364872,2.820755958557129,100,99.0,12,68
76,1,Knapsack,92.64953076519285,3.358382225036621,100,100.0,17,68
77,2,Knapsack,87.90042468824936,2.85601806640625,100,96.0,10,66
78,3,Knapsack,88.12332542717853,3.255190134048462,100,97.0,9,65
79,4,Knapsack,89.58062762752708,2.713704824447632,100,98.0,11,58
80,0,Knapsack,167.16483595508333,3.02478289604187,200,190.0,7,87
81,1,Knapsack,164.6005613337363,3.1326301097869873,200,191.0,10,75
82,2,Knapsack,165.68994583230094,2.6731536388397217,200,188.0,11,82
83,3,Knapsack,155.38260410366235,2.9178829193115234,200,177.0,14,73
84,4,Knapsack,163.72258723336657,3.0435760021209717,200,186.0,6,82
85,0,Knapsack,214.4127812776503,2.582677125930786,300,254.0,8,79
86,1,Knapsack,226.98924782271396,3.0106453895568848,300,262.0,13,93
87,2,Knapsack,230.0182724153463,2.8394553661346436,300,271.0,9,97
88,3,Knapsack,227.60193228427534,2.703411817550659,300,269.0,9,85
89,4,Knapsack,236.01314015384793,3.4558498859405518,300,274.0,14,101
90,0,Knapsack,287.8502735100789,2.7512969970703125,400,343.0,14,119
91,1,Knapsack,262.10800677111934,2.9631218910217285,400,326.0,6,76
92,2,Knapsack,266.8753720162084,3.1044819355010986,400,329.0,6,87
93,3,Knapsack,268.01551061784465,3.045466661453247,400,321.0,18,88
94,4,Knapsack,283.41830002164863,3.0900731086730957,400,347.0,14,88
95,0,Knapsack,319.4604469434256,3.154428005218506,500,398.0,9,96
96,1,Knapsack,334.40142924336556,2.9288229942321777,500,418.0,13,103
97,2,Knapsack,340.8497943010173,3.408412218093872,500,429.0,11,101
98,3,Knapsack,335.08933065441073,3.10636305809021,500,426.0,3,84
99,4,Knapsack,318.9150626846104,2.9408209323883057,500,406.0,9,102
100,0,Random,33.25505630131353,0.0038907527923583984,100,38.0,2,26
101,1,Random,32.527784919778185,0.0040361881256103516,100,38.0,1,20
102,2,Random,33.3991868709485,0.003470182418823242,100,38.0,5,21
103,3,Random,24.469674525892533,0.003900766372680664,100,29.0,1,14
104,4,Random,33.19416146638501,0.003667116165161133,100,37.0,2,20
105,0,Random,70.4942941778099,0.004250049591064453,200,86.0,1,28
106,1,Random,65.2201784700653,0.004189014434814453,200,79.0,2,31
107,2,Random,62.0767498204151,0.004000186920166016,200,75.0,3,25
108,3,Random,66.90458546659248,0.004281044006347656,200,81.0,2,27
109,4,Random,46.44418570752501,0.0041048526763916016,200,55.0,2,20
110,0,Random,85.46199662608001,0.004300832748413086,300,108.0,1,32
111,1,Random,94.7311598004869,0.004759788513183594,300,118.0,2,25
112,2,Random,104.7335367355537,0.004536867141723633,300,127.0,1,47
113,3,Random,74.41680513205503,0.004294157028198242,300,91.0,4,31
114,4,Random,82.13100575138039,0.0045888423919677734,300,102.0,4,30
115,0,Random,106.18294103833134,0.004636049270629883,400,136.0,1,33
116,1,Random,122.95258429131222,0.004817008972167969,400,162.0,0,32
117,2,Random,110.47064730841836,0.0052149295806884766,400,148.0,1,28
118,3,Random,130.17317810593732,0.005129814147949219,400,169.0,3,39
119,4,Random,106.93797716585433,0.005182981491088867,400,143.0,1,34
120,0,Random,133.2071702918704,0.0060198307037353516,500,193.0,1,27
121,1,Random,159.85293929949006,0.005464076995849609,500,228.0,0,34
122,2,Random,120.62775740348286,0.005645036697387695,500,170.0,0,28
123,3,Random,142.33854322956836,0.005735158920288086,500,196.0,2,36
124,4,Random,122.82487928081136,0.005103111267089844,500,171.0,0,31
