,round,algorithm,QoA,QoD,QoS,runtime,n_requests,req_id,req_service,req_acc,req_delay,served_acc,served_delay
0,0,EGP,0.691539222695034,0.9637935414650814,0.8276663820800577,0.45315098762512207,100,0,49,0.8536574670163619,0.4668157693845659,0.5451966897113959,0.6478480620591589
1,0,EGP,0.9770194844057493,0.9299100651497682,0.9534647747777587,0.45315098762512207,100,1,97,0.8817753625552223,0.5175765260324523,0.8587948469609715,0.8680262002836114
2,0,EGP,0.8145823794063022,0.9974239613731395,0.9060031703897209,0.45315098762512207,100,2,53,0.9416639520013284,1.0280670948718087,0.7562463314076305,1.0409472880061115
3,0,EGP,0.5792132935535916,0.8789403717716632,0.7290768326626273,0.45315098762512207,100,4,33,0.9311386704904947,0.29383229364092445,0.5103519640440863,0.8991304347826088
4,0,EGP,0.7817290535758648,0.9968624427309293,0.889295748153397,0.45315098762512207,100,5,65,0.9091817435995223,0.7083264491343864,0.6909107971753871,0.7240142354797399
5,0,EGP,0.9069769127862314,0.9679752873674744,0.9374761000768529,0.45315098762512207,100,7,51,0.9506908677132301,0.548709388782452,0.8576677804994615,0.70883295194508
6,0,EGP,1.0,0.7748059282529624,0.8874029641264811,0.45315098762512207,100,8,38,0.8370813961503386,0.5906531813725118,0.8654512642155618,1.7166235401077
7,0,EGP,0.8339529609675599,1.0,0.9169764804837799,0.45315098762512207,100,9,61,0.9918384224619289,1.6489177478118706,0.8257913834294888,1.072395976277699
8,0,EGP,1.0,1.0,1.0,0.45315098762512207,100,10,45,0.5604194845268511,1.7421862798025338,0.9392961529463789,0.8447629372040528
9,0,EGP,0.7809055138833875,1.0,0.8904527569416938,0.45315098762512207,100,11,74,0.905222854157229,2.7087398421676383,0.6861283680406165,0.8549530690796138
10,0,EGP,0.962502447218306,0.9159629599225382,0.9392327035704221,0.45315098762512207,100,12,27,0.9565794650164413,0.11533171043600376,0.9190819122347473,0.535516910823313
11,0,EGP,0.7432746318448601,1.0,0.87163731592243,0.45315098762512207,100,13,64,0.9104580053490552,2.0624944734134063,0.6537326371939153,1.1663053360374853
12,0,EGP,0.9524651377251792,0.9457055252690211,0.9490853314971002,0.45315098762512207,100,15,36,0.7877793348234828,0.5279998098497785,0.740244472548662,0.7994721835046732
13,0,EGP,0.9935155693830539,0.8375168745791162,0.9155162219810851,0.45315098762512207,100,18,12,0.9437536336577373,0.2558681257559928,0.9372692030407912,1.0682837528604119
14,0,EGP,0.8514916313091323,1.0,0.9257458156545662,0.45315098762512207,100,19,79,0.97404398995276,1.382458719535869,0.8255356212618923,0.9547746371275783
15,0,EGP,0.7367289989744559,0.9809302346800988,0.8588296168272773,0.45315098762512207,100,20,32,0.9773517599068557,0.41368722108663536,0.7140807588813116,0.5090360476861413
16,0,EGP,1.0,1.0,1.0,0.45315098762512207,100,22,90,0.6446644257500672,0.6448103978605509,0.6673774506853952,0.6200659824390976
17,0,EGP,0.9831987403618262,0.9218779386913202,0.9525383395265732,0.45315098762512207,100,23,77,0.7733676984752077,0.4489669775406039,0.7565664388370339,0.839577284084003
18,0,EGP,0.8907645190966768,1.0,0.9453822595483383,0.45315098762512207,100,24,18,0.9152913980188205,4.12841554748576,0.8060559171154973,0.7783949001323078
19,0,EGP,0.8846586973614524,0.8865244432404631,0.8855915703009578,0.45315098762512207,100,25,39,0.8730227849455846,0.04684236496821881,0.757681482307037,0.6142201487659036
20,0,EGP,0.9656189681538463,0.9810778107684536,0.9733483894611499,0.45315098762512207,100,26,12,0.9716502348869449,0.9736728067026797,0.9372692030407912,1.0682837528604119
21,0,EGP,0.8972404851871514,1.0,0.9486202425935757,0.45315098762512207,100,27,93,0.9441738718888103,3.747334025353236,0.8414143570759617,0.523672579182027
22,0,EGP,1.0,1.0,1.0,0.45315098762512207,100,30,42,0.5547540821998985,1.304306540037969,0.7007009983032519,0.42905303249631677
23,0,EGP,0.6087446620107785,0.9360149505487382,0.7723798062797583,0.45315098762512207,100,31,60,0.9080087514768417,0.8143599215323976,0.5167534134876202,1.1342851687887068
24,0,EGP,0.749555405229325,0.875536580907619,0.812545993068472,0.45315098762512207,100,32,71,0.9865897501055907,0.4710805156021378,0.7361451553349156,1.093397611064043
25,0,EGP,1.0,0.8459762351403405,0.9229881175701702,0.45315098762512207,100,33,12,0.9193066639787623,0.3916788649125958,0.9372692030407912,1.1617976892108932
26,0,EGP,0.9483415140267608,0.8425394068770697,0.8954404604519153,0.45315098762512207,100,34,45,0.9909546389196181,0.19815857804123355,0.9392961529463789,0.9854615436558849
27,0,EGP,0.8245597296362697,0.8780142708641451,0.8512870002502073,0.45315098762512207,100,35,55,0.8284650041282161,0.8601741587126409,0.6530247337644858,1.4701028043919155
28,0,EGP,0.9516182342557646,0.6995759028190582,0.8255970685374114,0.45315098762512207,100,36,40,0.9001388633229841,0.0011314897579247365,0.8517570975787487,1.5032519756626337
29,0,EGP,0.9133938106219814,0.8285945875145845,0.870994199068283,0.45315098762512207,100,37,78,0.8704816450905716,0.0308262607203632,0.783875455712553,0.8878533231474408
30,0,EGP,0.768018735285462,1.0,0.884009367642731,0.45315098762512207,100,40,70,0.9663892228665666,0.5481695117971971,0.7344079581520286,0.494106475651797
31,0,EGP,1.0,0.983053548574062,0.9915267742870311,0.45315098762512207,100,41,61,0.6554967496962723,0.40939704617141115,0.8257913834294888,0.49412930330110083
32,0,EGP,0.8370418717197657,0.9931106682111941,0.91507626996548,0.45315098762512207,100,42,56,0.9528904107478806,1.0607442677064585,0.7899322824676464,1.0951909266504878
